INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (1,1,44920);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (3,6,69940);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (3,7,74940);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (3,8,79940);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (3,9,84960);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (3,10,89960);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (3,11,94960);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (3,12,99960);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (3,13,104980);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (3,14,109980);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (3,15,114980);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (3,16,119980);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (3,17,125000);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (3,18,130000);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (3,19,135000);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (4,1,44920);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (4,2,49920);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (4,3,54920);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (4,4,59920);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (4,5,64940);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (4,6,69940);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (4,7,74940);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (4,8,79940);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (4,9,84960);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (4,10,89960);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (4,11,94960);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (4,12,99960);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (4,13,104980);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (4,14,109980);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (4,15,114980);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (4,16,119980);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (4,17,125000);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (4,18,130000);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (4,19,135000);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (5,1,44920);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (5,2,49920);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (5,3,54920);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (5,4,59920);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (5,5,64940);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (5,6,69940);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (5,7,74940);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (5,8,79940);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (5,9,84960);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (5,10,89960);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (5,11,94960);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (5,12,99960);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (5,13,104980);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (5,14,109980);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (5,15,114980);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (5,16,119980);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (5,17,125000);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (5,18,130000);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (5,19,135000);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (6,1,44920);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (6,2,49920);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (6,3,54920);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (6,4,59920);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (6,5,64940);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (6,6,69940);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (6,7,74940);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (6,8,79940);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (6,9,84960);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (6,10,89960);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (6,11,94960);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (6,12,99960);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (6,13,104980);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (6,14,109980);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (6,15,114980);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (6,16,119980);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (6,17,125000);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (6,18,130000);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (6,19,135000);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (7,1,44920);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (7,2,49920);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (7,3,54920);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (7,4,59920);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (7,5,64940);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (7,6,69940);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (7,7,74940);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (7,8,79940);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (7,9,84960);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (7,10,89960);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (7,11,94960);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (7,12,99960);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (7,13,104980);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (7,14,109980);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (7,15,114980);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (7,16,119980);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (7,17,125000);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (7,18,130000);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (7,19,135000);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (8,1,44920);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (8,2,49920);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (8,3,54920);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (8,4,59920);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (8,5,64940);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (8,6,69940);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (8,7,74940);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (8,8,79940);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (8,9,84960);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (8,10,89960);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (8,11,94960);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (8,12,99960);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (8,13,104980);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (8,14,109980);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (8,15,114980);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (8,16,119980);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (8,17,125000);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (8,18,130000);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (8,19,135000);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (9,1,44920);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (9,2,49920);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (9,3,54920);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (9,4,59920);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (9,5,64940);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (9,6,69940);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (9,7,74940);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (9,8,79940);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (9,9,84960);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (9,10,89960);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (9,11,94960);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (9,12,99960);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (9,13,104980);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (9,14,109980);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (9,15,114980);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (9,16,119980);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (9,17,125000);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (9,18,130000);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (9,19,135000);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (10,1,44920);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (10,2,49920);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (10,3,54920);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (10,4,59920);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (10,5,64940);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (10,6,69940);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (10,7,74940);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (10,8,79940);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (10,9,84960);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (10,10,89960);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (10,11,94960);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (10,12,99960);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (10,13,104980);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (10,14,109980);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (10,15,114980);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (10,16,119980);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (10,17,125000);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (10,18,130000);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (10,19,135000);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (11,1,44920);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (11,2,49920);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (11,3,54920);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (11,4,59920);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (11,5,64940);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (11,6,69940);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (11,7,74940);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (11,8,79940);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (11,9,84960);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (11,10,89960);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (11,11,94960);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (11,12,99960);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (11,13,104980);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (11,14,109980);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (11,15,114980);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (11,16,119980);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (11,17,125000);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (11,18,130000);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (11,19,135000);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (12,1,44920);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (12,2,49920);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (12,3,54920);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (12,4,59920);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (12,5,64940);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (12,6,69940);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (12,7,74940);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (12,8,79940);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (12,9,84960);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (12,10,89960);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (12,11,94960);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (12,12,99960);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (12,13,104980);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (12,14,109980);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (12,15,114980);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (12,16,119980);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (12,17,125000);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (12,18,130000);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (12,19,135000);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (13,1,44920);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (13,2,49920);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (13,3,54920);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (13,4,59920);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (13,5,64940);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (13,6,69940);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (13,7,74940);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (13,8,79940);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (13,9,84960);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (13,10,89960);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (13,11,94960);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (13,12,99960);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (13,13,104980);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (13,14,109980);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (13,15,114980);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (13,16,119980);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (13,17,125000);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (13,18,130000);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (13,19,135000);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (14,1,44920);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (14,2,49920);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (14,3,54920);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (14,4,59920);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (14,5,64940);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (14,6,69940);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (14,7,74940);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (14,8,79940);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (14,9,84960);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (14,10,89960);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (14,11,94960);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (14,12,99960);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (14,13,104980);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (14,14,109980);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (14,15,114980);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (14,16,119980);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (14,17,125000);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (14,18,130000);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (14,19,135000);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (15,1,44920);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (15,2,49920);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (15,3,54920);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (15,4,59920);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (15,5,64940);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (15,6,69940);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (15,7,74940);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (15,8,79940);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (15,9,84960);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (15,10,89960);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (15,11,94960);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (15,12,99960);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (15,13,104980);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (15,14,109980);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (15,15,114980);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (15,16,119980);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (15,17,125000);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (15,18,130000);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (15,19,135000);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (16,1,44920);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (16,2,49920);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (16,3,54920);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (16,4,59920);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (16,5,64940);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (16,6,69940);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (16,7,74940);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (16,8,79940);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (16,9,84960);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (16,10,89960);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (16,11,94960);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (16,12,99960);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (16,13,104980);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (16,14,109980);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (16,15,114980);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (16,16,119980);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (16,17,125000);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (16,18,130000);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (16,19,135000);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (17,1,44920);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (17,2,49920);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (17,3,54920);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (17,4,59920);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (17,5,64940);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (17,6,69940);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (17,7,74940);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (17,8,79940);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (17,9,84960);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (17,10,89960);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (17,11,94960);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (17,12,99960);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (17,13,104980);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (17,14,109980);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (17,15,114980);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (17,16,119980);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (17,17,125000);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (17,18,130000);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (17,19,135000);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (18,1,44920);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (18,2,49920);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (18,3,54920);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (18,4,59920);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (18,5,64940);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (18,6,69940);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (18,7,74940);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (18,8,79940);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (18,9,84960);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (18,10,89960);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (18,11,94960);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (18,12,99960);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (18,13,104980);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (18,14,109980);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (18,15,114980);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (18,16,119980);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (18,17,125000);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (18,18,130000);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (18,19,135000);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (19,1,44920);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (19,2,49920);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (19,3,54920);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (19,4,59920);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (19,5,64940);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (19,6,69940);
INSERT INTO Taxes(outlet_id, quarter_id, tax) VALUES (19,7,74940);
